iter	Passed	Remaining
0	0	96
1	1	80
2	2	74
3	2	68
4	3	65
5	4	64
6	4	63
7	5	62
8	6	61
9	6	60
10	7	59
11	8	58
12	8	58
13	9	57
14	10	56
15	10	56
16	11	55
17	12	54
18	12	54
19	13	53
20	14	53
21	14	52
22	15	52
23	16	51
24	17	51
25	17	50
26	18	49
27	19	49
28	19	48
29	20	47
30	21	47
31	21	46
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	43
38	27	42
39	27	41
40	28	41
41	28	39
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	40	29
58	41	29
59	42	28
60	43	27
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	9
86	62	9
87	62	8
88	63	7
89	64	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
