iter	Passed	Remaining
0	134	134202
1	135	67619
2	136	45408
3	137	34283
4	138	27616
5	139	23162
6	141	20009
7	142	17627
8	143	15835
9	145	14382
10	146	13178
11	147	12164
12	148	11302
13	149	10563
14	151	9939
15	152	9383
16	153	8894
17	155	8459
18	156	8059
19	157	7702
20	158	7389
21	160	7123
22	161	6862
23	162	6623
24	164	6399
25	165	6190
26	166	6001
27	167	5820
28	168	5652
29	169	5493
30	171	5346
31	172	5208
32	173	5081
33	174	4962
34	176	4852
35	177	4741
36	178	4637
37	179	4542
38	180	4451
39	182	4368
40	183	4283
41	184	4203
42	185	4123
43	186	4054
44	188	3990
45	189	3925
46	190	3859
47	191	3803
48	192	3744
49	194	3687
50	195	3632
51	196	3589
52	198	3543
53	199	3495
54	200	3446
55	202	3409
56	203	3371
57	204	3328
58	206	3294
59	207	3253
60	208	3213
61	209	3174
62	210	3136
63	212	3100
64	213	3067
65	214	3037
66	216	3009
67	217	2980
68	218	2950
69	219	2919
70	221	2892
71	222	2867
72	223	2842
73	225	2816
74	226	2791
75	227	2768
76	228	2744
77	230	2724
78	232	2709
79	233	2687
80	234	2664
81	236	2643
82	236	2616
83	238	2596
84	239	2577
85	240	2559
86	242	2539
87	243	2522
88	244	2507
89	246	2491
90	247	2473
91	248	2455
92	250	2441
93	251	2424
94	252	2408
95	253	2390
96	254	2373
97	256	2356
98	257	2340
99	258	2324
100	259	2311
101	261	2298
102	262	2284
103	263	2274
104	265	2267
105	267	2255
106	269	2245
107	270	2233
108	272	2224
109	273	2214
110	275	2204
111	277	2199
112	278	2189
113	280	2181
114	282	2171
115	285	2172
116	286	2160
117	289	2163
118	290	2153
119	292	2146
120	294	2141
121	296	2135
122	298	2126
123	299	2119
124	301	2112
125	303	2105
126	304	2095
127	307	2092
128	308	2084
129	310	2077
130	312	2069
131	313	2064
132	315	2056
133	317	2049
134	318	2040
135	319	2032
136	321	2023
137	323	2019
138	324	2011
139	326	2003
140	327	1995
141	328	1986
142	330	1983
143	333	1979
144	334	1974
145	336	1970
146	339	1971
147	341	1964
148	342	1958
149	344	1950
150	345	1943
151	347	1938
152	349	1932
153	350	1927
154	352	1921
155	354	1916
156	355	1909
157	357	1902
158	358	1897
159	360	1891
160	361	1881
161	362	1875
162	363	1868
163	365	1863
164	367	1859
165	369	1855
166	370	1849
167	372	1843
168	373	1837
169	375	1832
170	377	1828
171	378	1823
172	380	1818
173	382	1813
174	383	1807
175	385	1802
176	386	1798
177	388	1795
178	390	1792
179	392	1788
180	394	1783
181	395	1779
182	397	1774
183	398	1769
184	400	1764
185	402	1761
186	403	1756
187	405	1751
188	407	1747
189	408	1742
190	410	1736
191	411	1731
192	413	1730
193	415	1725
194	416	1720
195	417	1714
196	419	1709
197	420	1704
198	422	1699
199	423	1694
200	425	1689
201	426	1685
202	428	1681
203	429	1677
204	432	1675
205	433	1672
206	435	1668
207	436	1663
208	438	1660
209	440	1657
210	442	1653
211	443	1649
212	445	1645
213	446	1641
214	448	1637
215	450	1634
216	451	1630
217	453	1626
218	455	1622
219	456	1617
220	458	1615
221	459	1611
222	461	1607
223	463	1604
224	464	1599
225	465	1595
226	467	1591
227	468	1587
228	470	1583
229	471	1579
230	475	1581
231	476	1578
232	478	1574
233	479	1570
234	481	1565
235	482	1561
236	483	1557
237	485	1553
238	486	1550
239	488	1547
240	490	1545
241	492	1541
242	493	1536
243	494	1532
244	495	1528
245	497	1524
246	498	1520
247	500	1517
248	501	1512
249	504	1512
250	506	1510
251	507	1507
252	509	1503
253	510	1499
254	511	1495
